Date,Year,Pass,Site,FishNo,Species,Length,Weight,ScaleAge
10/8/13,2013,1,L22,12,RB,192,91,1
10/11/13,2013,2,L05,3,RB,247,NA,1
10/11/13,2013,2,L20,10,RB,235,NA,1
10/17/13,2013,0,L39,1,RB,341,429,2
10/8/13,2013,1,L27,17,RB,240,171,1
10/17/13,2013,0,L34,23,RB,241,160,1
10/11/13,2013,2,L12,9,RB,229,NA,1
10/17/13,2013,0,L34,12,RB,348,509,6
10/11/13,2013,2,L20,3,RB,386,NA,4
10/8/13,2013,1,L22,3,RB,254,199,1
10/20/13,2013,4,L10,4,RB,258,229,1
10/7/13,2013,1,L12,3,RB,240,177,1
10/17/13,2013,0,L34,17,RB,334,381,3
10/18/13,2013,0,L33,9,RB,250,173,1
10/11/13,2013,2,L16,6,RB,215,NA,1
10/18/13,2013,0,L36,14,RB,112,44,0
10/7/13,2013,1,L20,10,RB,252,219,1
10/23/13,2013,5,L21,9,RB,194,82,1
10/24/13,2013,5,L07,2,RB,396,674,3
10/18/13,2013,0,L36,5,RB,344,532,3
10/15/13,2013,3,L08,8,RB,250,189,1
10/18/13,2013,0,L37,7,RB,261,212,1
10/20/13,2013,4,L22,11,RB,238,160,1
10/8/13,2013,1,L22,22,RB,333,437,2
10/20/13,2013,4,L07,2,RB,304,353,2
10/12/13,2013,2,L23,12,RB,311,325,2
10/18/13,2013,0,L49,19,RB,240,191,1
10/18/13,2013,0,L52,2,RB,408,723,4
10/20/13,2013,4,L06,2,RB,297,312,2
10/8/13,2013,1,L02,9,RB,75,5,0
10/15/13,2013,3,L16,13,RB,111,12,0
10/18/13,2013,0,L52,6,RB,397,747,3
10/23/13,2013,5,L21,4,RB,346,405,2
10/8/13,2013,1,L07,6,RB,341,507,2
10/8/13,2013,1,L06,1,RB,210,119,1
10/11/13,2013,2,L16,10,RB,259,NA,1
10/8/13,2013,1,L23,8,RB,192,89,1
10/8/13,2013,1,L10,4,RB,246,202,1
10/17/13,2013,0,L50,4,RB,173,67,1
10/7/13,2013,1,L17,2,RB,221,119,1
10/17/13,2013,0,L31,6,RB,365,517,3
10/11/13,2013,2,L12,6,RB,370,NA,3
10/16/13,2013,3,L02,6,RB,258,202,1
10/8/13,2013,1,L07,2,RB,240,173,1
10/18/13,2013,0,L48,10,RB,159,43,0
10/15/13,2013,3,L01,1,RB,253,182,1
10/11/13,2013,2,L28,10,RB,238,NA,1
10/12/13,2013,2,L19,6,RB,241,167,1
10/15/13,2013,3,L16,12,RB,240,184,1
10/12/13,2013,2,L22,17,RB,252,165,1
10/15/13,2013,3,L12,6,RB,248,193,1
10/16/13,2013,3,L22,20,RB,238,149,1
10/12/13,2013,2,L11,8,RB,321,409,2
10/8/13,2013,1,L15,4,RB,227,139,1
10/12/13,2013,2,L19,4,RB,420,817,3
10/19/13,2013,4,L21,8,RB,216,107,1
10/20/13,2013,4,L23,2,RB,285,251,1
10/18/13,2013,0,L37,2,RB,345,405,3
10/18/13,2013,0,L49,14,RB,350,564,2
10/18/13,2013,0,L45,3,RB,242,162,1
10/7/13,2013,1,L16,2,RB,223,147,1
10/20/13,2013,4,L14,2,RB,213,126,1
10/17/13,2013,0,L35,8,RB,228,146,1
10/15/13,2013,3,L08,5,RB,358,583,2
10/8/13,2013,1,L27,13,RB,231,145,1
10/20/13,2013,4,L22,5,RB,408,767,4
10/18/13,2013,0,L49,6,RB,373,537,3
10/24/13,2013,5,L22,4,RB,359,572,2
