Date ,Time,Calispell Cr Temp C),Smalle Cr Temp C),Winchester Cr Temp (C)
1/10/13,3:43:31 AM,1.02,0.63,0.36
1/10/13,3:43:31 PM,1.15,1.1,0.77
1/10/13,4:13:31 AM,1.02,0.61,0.36
1/10/13,4:13:31 PM,1.13,1.1,0.77
1/10/13,4:43:31 AM,1.02,0.61,0.38
1/10/13,4:43:31 PM,1.1,1.1,0.8
1/10/13,5:13:31 AM,1.02,0.61,0.41
1/10/13,5:13:31 PM,1.07,1.1,0.8
1/10/13,5:43:31 AM,1.02,0.5,0.44
1/10/13,5:43:31 PM,0.99,1.07,0.8
1/10/13,6:13:31 AM,1.02,0.47,0.47
1/10/13,6:13:31 PM,0.88,0.99,0.77
1/10/13,6:43:31 AM,1.02,0.33,0.47
1/10/13,6:43:31 PM,0.8,0.88,0.74
1/10/13,7:13:31 AM,1.02,0.33,0.5
1/10/13,7:13:31 PM,0.8,0.85,0.69
1/10/13,7:43:31 AM,0.99,0.27,0.5
1/10/13,7:43:31 PM,0.8,0.83,0.66
1/10/13,8:13:31 AM,0.99,0.22,0.5
1/10/13,8:13:31 PM,0.74,0.83,0.61
1/10/13,8:43:31 AM,0.99,0.22,0.5
1/10/13,8:43:31 PM,0.69,0.77,0.55
1/10/13,9:13:31 AM,0.96,0.25,0.5
1/10/13,9:13:31 PM,0.72,0.77,0.52
1/10/13,9:43:31 AM,0.96,0.3,0.5
1/10/13,9:43:31 PM,0.72,0.77,0.5
1/11/09,1:11:23 AM,1.16,1.04,0.19
1/11/09,1:11:23 PM,1.32,1.47,0.15
1/11/09,10:11:23 AM,1.16,1.15,0.17
1/11/09,10:11:23 PM,1.16,1.45,0.42
1/11/09,11:11:23 AM,1.16,1.22,0.15
1/11/09,11:11:23 PM,1.16,1.38,0.49
1/11/09,12:11:23 AM,1.16,1.04,0.17
1/11/09,12:11:23 PM,1.16,1.33,0.17
1/11/09,2:11:23 AM,1.16,1.06,0.19
1/11/09,2:11:23 PM,1.32,1.68,0.15
1/11/09,3:11:23 AM,1.16,1.08,0.18
1/11/09,3:11:23 PM,1.16,1.71,0.12
1/11/09,4:11:23 AM,1,1.12,0.22
1/11/09,4:11:23 PM,1.16,1.77,0.13
1/11/09,5:11:23 AM,1,1.14,0.17
1/11/09,5:11:23 PM,1.16,1.75,0.13
1/11/09,6:11:23 AM,1,1.14,0.19
1/11/09,6:11:23 PM,1.16,1.7,0.16
1/11/09,7:11:23 AM,1,1.15,0.2
1/11/09,7:11:23 PM,1.16,1.6,0.19
1/11/09,8:11:23 AM,1,1.16,0.2
1/11/09,8:11:23 PM,1.16,1.54,0.26
1/11/09,9:11:23 AM,1,1.16,0.17
1/11/09,9:11:23 PM,1,1.5,0.23
1/11/10,1:01:00 AM,NA,NA,NA
1/11/10,1:01:00 PM,NA,NA,NA
1/11/10,10:01:00 AM,NA,NA,NA
1/11/10,10:01:00 PM,NA,NA,NA
1/11/10,11:01:00 AM,NA,NA,NA
1/11/10,11:01:00 PM,NA,NA,NA
1/11/10,12:01:00 AM,NA,NA,NA
1/11/10,12:01:00 PM,NA,NA,NA
1/11/10,2:01:00 AM,NA,NA,NA
1/11/10,2:01:00 PM,NA,NA,NA
